dataset,subset,cluster_id,cluster_size,node_id,file_path,language,source_element_path
KMT,all_notes_en,all_notes_en_cluster_dita_document:272a547cf474026db7fe,9,dita_document:989c60e024c1743b9ab0,KA-01603_note_0002.dita,,KA-01603_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:272a547cf474026db7fe,9,dita_document:272a547cf474026db7fe,KA-01698_note_0004.dita,,KA-01698_note_0004.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:272a547cf474026db7fe,9,dita_document:8b18bf6cd3a80327942d,KA-01710_note_0004.dita,,KA-01710_note_0004.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:272a547cf474026db7fe,9,dita_document:266ea3006e2586bc065e,KA-01770_note_0003.dita,,KA-01770_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:272a547cf474026db7fe,9,dita_document:6baac046904fd386a297,KA-01773_note_0003.dita,,KA-01773_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:272a547cf474026db7fe,9,dita_document:b36c7d22d74806cd5a8a,KA-01788_note_0003.dita,,KA-01788_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:272a547cf474026db7fe,9,dita_document:e705ccc0453cdcb0fc65,KA-01957_note_0002.dita,,KA-01957_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:6ccbcc238e3e4db4226c,2,dita_document:6ccbcc238e3e4db4226c,KA-01552_note_0002.dita,,KA-01552_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:6ccbcc238e3e4db4226c,2,dita_document:efbc0cc8709d8858ff17,KA-01552_note_0003.dita,,KA-01552_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:f57f7d02c230effe302a,2,dita_document:f57f7d02c230effe302a,KA-01568_note_0001.dita,,KA-01568_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:f57f7d02c230effe302a,2,dita_document:9869c27b0757aa59018b,KA-01568_note_0007.dita,,KA-01568_note_0007.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:de7332448566238b887a,2,dita_document:de7332448566238b887a,KA-01568_note_0006.dita,,KA-01568_note_0006.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:de7332448566238b887a,2,dita_document:6dfa451827a43d82dd8d,KA-01568_note_0010.dita,,KA-01568_note_0010.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:7687e5d33d9ba871017c,5,dita_document:7687e5d33d9ba871017c,KA-01571_note_0001.dita,,KA-01571_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:7687e5d33d9ba871017c,5,dita_document:d997815e2891a42ef62e,KA-01571_note_0003.dita,,KA-01571_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:7687e5d33d9ba871017c,5,dita_document:c767b0d3095a5c83695b,KA-04305_note_0003.dita,,KA-04305_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:7687e5d33d9ba871017c,5,dita_document:5af310d84c7e968fb5e7,KA-04305_note_0005.dita,,KA-04305_note_0005.dita
