item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score
11,1885,dita_body:906231843ca5a2d2a252,dita_body:b65f431f3bd57ec58d27,1.0000003576278689,0.9998883
11,1916,dita_body:906231843ca5a2d2a252,dita_body:c88ca6b6ce4afa9d8a7f,1.0000003576278689,0.9998883
11,1956,dita_body:906231843ca5a2d2a252,dita_body:df0e56ef744f610650c8,1.0000003576278689,0.9998883
11,1997,dita_body:906231843ca5a2d2a252,dita_body:248726dfa429f8366d8d,1.0000003576278689,0.99986225
11,2033,dita_body:906231843ca5a2d2a252,dita_body:ddf9ad416cb63527fc70,1.0000003576278689,0.9998883
11,2093,dita_body:906231843ca5a2d2a252,dita_body:790be7af3d2f5b33c724,1.0000003576278689,0.9998883
11,2142,dita_body:906231843ca5a2d2a252,dita_body:e75823d3fe6f85b4fa5f,1.0000003576278689,0.9998883
11,2177,dita_body:906231843ca5a2d2a252,dita_body:bb30573f4d78fa88b3f4,1.0000003576278689,0.9998883
11,2186,dita_body:906231843ca5a2d2a252,dita_body:a3087afaf4f44b82d29c,1.0000003576278689,0.9998883
11,2300,dita_body:906231843ca5a2d2a252,dita_body:b8cb64c170310e49c653,1.0000003576278689,0.9998883
11,2335,dita_body:906231843ca5a2d2a252,dita_body:9eb4143f46923a017358,1.0000003576278689,0.9998883
11,2492,dita_body:906231843ca5a2d2a252,dita_body:97740ce2dfd21896a5b1,1.0000003576278689,0.9998883
11,2503,dita_body:906231843ca5a2d2a252,dita_body:a642bfd5d8e7e37756cf,1.0000003576278689,0.9998883
11,2553,dita_body:906231843ca5a2d2a252,dita_body:034d9a710975b0e37850,1.0000003576278689,0.9998883
11,2616,dita_body:906231843ca5a2d2a252,dita_body:1f421c13fb6ba4427746,1.0000003576278689,0.9998883
11,2617,dita_body:906231843ca5a2d2a252,dita_body:ad7598db95b8968c71dc,1.0000003576278689,0.9998883
11,2764,dita_body:906231843ca5a2d2a252,dita_body:ea37b9727da5fbcafae4,1.0000003576278689,0.99986225
11,2802,dita_body:906231843ca5a2d2a252,dita_body:4f53f4aab6e44b9e6df7,1.0000003576278689,0.9998883
11,2830,dita_body:906231843ca5a2d2a252,dita_body:c86f1b331771951d4b81,1.0000003576278689,0.9998883
11,2835,dita_body:906231843ca5a2d2a252,dita_body:14087a6ba9297813d1b6,1.0000003576278689,0.9998883
11,2841,dita_body:906231843ca5a2d2a252,dita_body:e64dcac633dc94169e9d,1.0000003576278689,0.9998883
11,2848,dita_body:906231843ca5a2d2a252,dita_body:b2deb8d00ff384a11812,1.0000003576278689,0.9998883
11,2856,dita_body:906231843ca5a2d2a252,dita_body:3c3e4aa434991128cf29,1.0000003576278689,0.9998883
11,2867,dita_body:906231843ca5a2d2a252,dita_body:84a718e64414a3e58deb,1.0000003576278689,0.9998883
11,2875,dita_body:906231843ca5a2d2a252,dita_body:c51e37a2a703552baeac,1.0000003576278689,0.9998883
11,2885,dita_body:906231843ca5a2d2a252,dita_body:76eb2770b102202c5561,1.0000003576278689,0.9998883
11,2897,dita_body:906231843ca5a2d2a252,dita_body:065f94ab80eaf35bae2b,1.0000003576278689,0.9998883
11,2906,dita_body:906231843ca5a2d2a252,dita_body:90b8f0fbcffe82fd7c91,1.0000003576278689,0.9998883
11,2917,dita_body:906231843ca5a2d2a252,dita_body:5862c02c18946cbca3ef,1.0000003576278689,0.9998883
11,2926,dita_body:906231843ca5a2d2a252,dita_body:aa3696c8d4cbc7b5b65a,1.0000003576278689,0.9998883
11,2934,dita_body:906231843ca5a2d2a252,dita_body:b45a81db70fea36868fc,1.0000003576278689,0.9998883
